timestamp,protocol,src_ip,src_port,dst_ip,dst_port,prediction
2024-07-06 16:46:33.878279,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878280,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878358,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878361,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878362,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878363,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878364,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878518,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878522,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878523,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.878524,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879650,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879655,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879752,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879755,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879756,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879769,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.879837,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.879887,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.881453,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.881479,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.881482,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.881483,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.881516,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.881517,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883045,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883058,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883060,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883061,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883062,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.883064,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884384,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884390,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884392,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884393,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884553,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.884556,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.886057,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.886061,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.886329,UDP,192.168.1.44,58646,239.255.255.250,1900,1.0
2024-07-06 16:46:33.886353,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.888294,UDP,142.250.178.4,443,192.168.1.2,34733,0.0
2024-07-06 16:46:33.888752,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888759,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888760,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888762,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888763,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888805,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.888920,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.889374,UDP,192.168.1.25,62244,239.255.255.250,1900,1.0
2024-07-06 16:46:33.890132,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.890138,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.890140,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.890141,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.890142,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.890143,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891433,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891542,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.891616,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891620,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891621,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891622,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891691,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.891737,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.891740,UDP,192.168.1.44,64670,239.255.255.250,1900,1.0
2024-07-06 16:46:33.892601,UDP,192.168.1.25,55472,239.255.255.250,1900,1.0
2024-07-06 16:46:33.893398,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893405,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893407,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893408,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893450,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893514,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893518,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893519,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.893603,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.895070,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895077,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895078,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895079,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895191,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.895202,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895205,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895207,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895265,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.895325,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.896410,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896416,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896418,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896419,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896550,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896553,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896555,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896556,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.896564,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.896701,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.898266,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898274,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898276,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898278,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898279,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
