src_ip,dst_ip,src_port,dst_port,protocol,signature,label,timestamp,removed_at
192.168.1.12,239.255.255.250,54239,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,54239,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,54239,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,64265,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,49661,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63063,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,63996,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,65225,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,62089,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,64265,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,49661,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63063,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,63996,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,65225,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,62089,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,64265,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,49661,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63063,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,63996,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,65225,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,62089,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,37946,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,37946,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,37946,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,52004,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58053,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,61096,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,59451,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,50890,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,54982,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
